experiment,run_id,task_id,seed,rtk_on,factor_key,factor_b_on,factor_b_value,compaction_trigger,pt,gt,success,turns,n_tool_calls,ran_tests,compaction_activated,total_compaction_gt,rtk_supported_calls,rtk_fallback_calls,rtk_fidelity,total_tool_output_tokens,traj_signature,deg_zero_tools,deg_turn1,deg_no_tests,deg_dup_in_cell,degenerate
e1_rtk_compaction,e1_rtk_compaction-repo_task_004-seed17-rtk0-on-standard,repo_task_004,17,0,compaction,1,on,,60073.0,2976.0,True,30,30,True,False,0,0,0,0.0,383,9daf56e75fba4685,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_004-seed17-rtk1-off-standard,repo_task_004,17,1,compaction,0,off,,6298.0,687.0,True,10,9,True,False,0,4,5,-0.1111,178,373dabb85b2374d8,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_004-seed17-rtk1-on-standard,repo_task_004,17,1,compaction,1,on,,5558.0,509.0,True,10,9,True,False,0,4,5,-0.1111,187,98b8de9a0780ca76,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_004-seed52-rtk0-off-standard,repo_task_004,52,0,compaction,0,off,,6087.0,481.0,True,10,9,True,False,0,0,0,0.0,406,9edb51dbdd09470d,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_004-seed52-rtk0-on-standard,repo_task_004,52,0,compaction,1,on,,3937.0,999.0,False,5,4,True,False,0,0,0,0.0,78,9c51b92c4db9b1ef,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_004-seed52-rtk1-off-standard,repo_task_004,52,1,compaction,0,off,,178429.0,9353.0,False,30,30,True,False,0,0,30,-1.0,2502,2222805ea7cba18b,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_004-seed52-rtk1-on-standard,repo_task_004,52,1,compaction,1,on,,650.0,290.0,False,2,1,True,False,0,0,1,-1.0,0,97f3600a40c5ae91,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_005-seed17-rtk0-off-standard,repo_task_005,17,0,compaction,0,off,,121714.0,2549.0,False,30,30,True,False,0,0,0,0.0,5488,dff76868b13d2203,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_005-seed17-rtk0-on-standard,repo_task_005,17,0,compaction,1,on,,5880.0,557.0,True,9,8,True,False,0,0,0,0.0,426,30684c3719970778,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_005-seed17-rtk1-off-standard,repo_task_005,17,1,compaction,0,off,,7527.0,782.0,True,11,10,True,False,0,4,6,-0.2,190,552e74f3662c22f8,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_005-seed17-rtk1-on-standard,repo_task_005,17,1,compaction,1,on,,6262.0,667.0,True,9,8,True,False,0,2,6,-0.5,499,a51dbb3bb07f55ee,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_005-seed52-rtk0-off-standard,repo_task_005,52,0,compaction,0,off,,6822.0,705.0,False,9,8,True,False,0,0,0,0.0,412,284f5e825397c6d7,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_005-seed52-rtk0-on-standard,repo_task_005,52,0,compaction,1,on,,3749.0,478.0,True,7,6,True,False,0,0,0,0.0,239,8b55fa982211e2c2,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_005-seed52-rtk1-off-standard,repo_task_005,52,1,compaction,0,off,,2906.0,448.0,True,6,5,True,False,0,1,4,-0.6,102,efd9ae5fb5ac2c83,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_005-seed52-rtk1-on-standard,repo_task_005,52,1,compaction,1,on,,2638.0,370.0,True,6,5,True,False,0,1,4,-0.6,91,c680ba5fbf3bd815,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_006-seed17-rtk0-off-standard,repo_task_006,17,0,compaction,0,off,,134582.0,2330.0,False,30,30,True,False,0,0,0,0.0,7021,2a15e5e0c18cd794,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_006-seed17-rtk0-on-standard,repo_task_006,17,0,compaction,1,on,,63422.0,3084.0,False,30,30,True,True,1,0,0,0.0,1377,bb0fbd452278519a,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_006-seed17-rtk1-off-standard,repo_task_006,17,1,compaction,0,off,,111294.0,6196.0,False,30,30,True,False,0,28,2,0.8667,2020,262f46259e6bd797,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_006-seed17-rtk1-on-standard,repo_task_006,17,1,compaction,1,on,,10627.0,894.0,True,12,11,True,False,0,5,6,-0.0909,377,cb9a60be9e1e8df4,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_006-seed52-rtk0-off-standard,repo_task_006,52,0,compaction,0,off,,11576.0,664.0,False,11,10,True,False,0,0,0,0.0,963,8a1ec8622c70bf4c,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_006-seed52-rtk0-on-standard,repo_task_006,52,0,compaction,1,on,,7019.0,940.0,True,8,7,True,False,0,0,0,0.0,467,b3a7397a7b2bb85e,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_006-seed52-rtk1-off-standard,repo_task_006,52,1,compaction,0,off,,6129.0,585.0,False,9,8,True,False,0,4,4,0.0,438,db9e1476c5bb1b99,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_006-seed52-rtk1-on-standard,repo_task_006,52,1,compaction,1,on,,50109.0,2247.0,False,30,30,True,False,0,16,14,0.0667,783,fdd4c53ed6774774,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed07-rtk0-off-cod,repo_task_001,7,0,reasoning,1,cod,,204.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed07-rtk0-off-standard,repo_task_001,7,0,reasoning,0,standard,,98.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed07-rtk1-off-cod,repo_task_001,7,1,reasoning,1,cod,,163.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed07-rtk1-off-standard,repo_task_001,7,1,reasoning,0,standard,,57.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed13-rtk0-off-cod,repo_task_001,13,0,reasoning,1,cod,,204.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed13-rtk0-off-standard,repo_task_001,13,0,reasoning,0,standard,,98.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed13-rtk1-off-cod,repo_task_001,13,1,reasoning,1,cod,,163.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed13-rtk1-off-standard,repo_task_001,13,1,reasoning,0,standard,,57.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed17-rtk0-off-cod,repo_task_001,17,0,reasoning,1,cod,,566.0,166.0,False,2,1,True,False,0,0,0,0.0,246,d1b3bd55fef54591,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed17-rtk0-off-standard,repo_task_001,17,0,reasoning,0,standard,,2793.0,542.0,True,5,4,True,False,0,0,0,0.0,201,5ddd5edbe803bdf4,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed17-rtk1-off-cod,repo_task_001,17,1,reasoning,1,cod,,591.0,302.0,False,2,1,True,False,0,0,1,-1.0,246,bafe8452994312ea,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed17-rtk1-off-standard,repo_task_001,17,1,reasoning,0,standard,,1031.0,306.0,True,3,2,False,False,0,0,2,-1.0,50,680c468d7ddb630d,False,False,True,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed42-rtk0-off-cod,repo_task_001,42,0,reasoning,1,cod,,204.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed42-rtk0-off-standard,repo_task_001,42,0,reasoning,0,standard,,98.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed42-rtk1-off-cod,repo_task_001,42,1,reasoning,1,cod,,163.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed42-rtk1-off-standard,repo_task_001,42,1,reasoning,0,standard,,57.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed52-rtk0-off-cod,repo_task_001,52,0,reasoning,1,cod,,574.0,175.0,False,2,1,True,False,0,0,0,0.0,246,776b3b73a7a93297,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed52-rtk0-off-standard,repo_task_001,52,0,reasoning,0,standard,,3167.0,1151.0,True,4,3,True,False,0,0,0,0.0,19,13ccef653dd6d453,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed52-rtk1-off-cod,repo_task_001,52,1,reasoning,1,cod,,63104.0,1480.0,False,30,30,True,False,0,30,0,1.0,2512,785683af712860f7,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed52-rtk1-off-standard,repo_task_001,52,1,reasoning,0,standard,,5216.0,811.0,True,7,6,True,False,0,3,3,0.0,204,48839c3fd8188519,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed99-rtk0-off-cod,repo_task_001,99,0,reasoning,1,cod,,204.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed99-rtk0-off-standard,repo_task_001,99,0,reasoning,0,standard,,98.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed99-rtk1-off-cod,repo_task_001,99,1,reasoning,1,cod,,163.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_001-seed99-rtk1-off-standard,repo_task_001,99,1,reasoning,0,standard,,57.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed07-rtk0-off-cod,repo_task_002,7,0,reasoning,1,cod,,204.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed07-rtk0-off-standard,repo_task_002,7,0,reasoning,0,standard,,98.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed07-rtk1-off-cod,repo_task_002,7,1,reasoning,1,cod,,163.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed07-rtk1-off-standard,repo_task_002,7,1,reasoning,0,standard,,57.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed13-rtk0-off-cod,repo_task_002,13,0,reasoning,1,cod,,204.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed13-rtk0-off-standard,repo_task_002,13,0,reasoning,0,standard,,98.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed13-rtk1-off-cod,repo_task_002,13,1,reasoning,1,cod,,163.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed13-rtk1-off-standard,repo_task_002,13,1,reasoning,0,standard,,57.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed17-rtk0-off-cod,repo_task_002,17,0,reasoning,1,cod,,126.0,40.0,False,1,0,False,False,0,0,0,0.0,0,e3b0c44298fc1c14,True,True,True,False,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed17-rtk0-off-standard,repo_task_002,17,0,reasoning,0,standard,,88067.0,3714.0,False,30,30,True,False,0,0,0,0.0,1932,763c9bd0a93503e8,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed17-rtk1-off-cod,repo_task_002,17,1,reasoning,1,cod,,799.0,225.0,False,3,2,True,False,0,2,0,1.0,151,a2d52f01716b5885,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed17-rtk1-off-standard,repo_task_002,17,1,reasoning,0,standard,,4676.0,633.0,True,8,7,True,False,0,3,4,-0.1429,102,9eda7bf947dc5f3e,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed42-rtk0-off-cod,repo_task_002,42,0,reasoning,1,cod,,204.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed42-rtk0-off-standard,repo_task_002,42,0,reasoning,0,standard,,98.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed42-rtk1-off-cod,repo_task_002,42,1,reasoning,1,cod,,163.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed42-rtk1-off-standard,repo_task_002,42,1,reasoning,0,standard,,57.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
