run_id,task_id,seed,rtk,factor_key,factor_b,rtk_on,factor_b_on,pt,gt,success,interaction_on
e1b_rtk_cod-repo_task_002-seed99-rtk1-off-cod,repo_task_002,99,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_002-seed99-rtk1-off-standard,repo_task_002,99,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_003-seed07-rtk0-off-cod,repo_task_003,7,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_003-seed07-rtk0-off-standard,repo_task_003,7,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_003-seed07-rtk1-off-cod,repo_task_003,7,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_003-seed07-rtk1-off-standard,repo_task_003,7,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_003-seed13-rtk0-off-cod,repo_task_003,13,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_003-seed13-rtk0-off-standard,repo_task_003,13,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_003-seed13-rtk1-off-cod,repo_task_003,13,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_003-seed13-rtk1-off-standard,repo_task_003,13,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_003-seed17-rtk0-off-cod,repo_task_003,17,off,reasoning,cod,0,1,374.0,117.0,False,0
e1b_rtk_cod-repo_task_003-seed17-rtk0-off-standard,repo_task_003,17,off,reasoning,standard,0,0,20220.0,1218.0,False,0
e1b_rtk_cod-repo_task_003-seed17-rtk1-off-cod,repo_task_003,17,on,reasoning,cod,1,1,341.0,146.0,False,1
e1b_rtk_cod-repo_task_003-seed17-rtk1-off-standard,repo_task_003,17,on,reasoning,standard,1,0,3739.0,463.0,True,0
e1b_rtk_cod-repo_task_003-seed42-rtk0-off-cod,repo_task_003,42,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_003-seed42-rtk0-off-standard,repo_task_003,42,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_003-seed42-rtk1-off-cod,repo_task_003,42,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_003-seed42-rtk1-off-standard,repo_task_003,42,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_003-seed52-rtk0-off-cod,repo_task_003,52,off,reasoning,cod,0,1,126862.0,2212.0,False,0
e1b_rtk_cod-repo_task_003-seed52-rtk0-off-standard,repo_task_003,52,off,reasoning,standard,0,0,6765.0,666.0,True,0
e1b_rtk_cod-repo_task_003-seed52-rtk1-off-cod,repo_task_003,52,on,reasoning,cod,1,1,343.0,149.0,False,1
e1b_rtk_cod-repo_task_003-seed52-rtk1-off-standard,repo_task_003,52,on,reasoning,standard,1,0,57013.0,3210.0,True,0
e1b_rtk_cod-repo_task_003-seed99-rtk0-off-cod,repo_task_003,99,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_003-seed99-rtk0-off-standard,repo_task_003,99,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_003-seed99-rtk1-off-cod,repo_task_003,99,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_003-seed99-rtk1-off-standard,repo_task_003,99,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_004-seed07-rtk0-off-cod,repo_task_004,7,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_004-seed07-rtk0-off-standard,repo_task_004,7,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_004-seed07-rtk1-off-cod,repo_task_004,7,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_004-seed07-rtk1-off-standard,repo_task_004,7,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_004-seed13-rtk0-off-cod,repo_task_004,13,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_004-seed13-rtk0-off-standard,repo_task_004,13,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_004-seed13-rtk1-off-cod,repo_task_004,13,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_004-seed13-rtk1-off-standard,repo_task_004,13,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_004-seed17-rtk0-off-cod,repo_task_004,17,off,reasoning,cod,0,1,126.0,25.0,False,0
e1b_rtk_cod-repo_task_004-seed17-rtk0-off-standard,repo_task_004,17,off,reasoning,standard,0,0,7596.0,757.0,True,0
e1b_rtk_cod-repo_task_004-seed17-rtk1-off-cod,repo_task_004,17,on,reasoning,cod,1,1,126.0,18.0,False,1
