run_id,task_id,seed,rtk,factor_b,pt,gt,success
e1b_rtk_cod-repo_task_004-seed99-rtk1-off-cod,repo_task_004,99,on,off,163,11,True
e1b_rtk_cod-repo_task_004-seed99-rtk1-off-standard,repo_task_004,99,on,off,57,11,True
e1b_rtk_cod-repo_task_005-seed07-rtk0-off-cod,repo_task_005,7,off,off,204,11,True
e1b_rtk_cod-repo_task_005-seed07-rtk0-off-standard,repo_task_005,7,off,off,98,11,True
e1b_rtk_cod-repo_task_005-seed07-rtk1-off-cod,repo_task_005,7,on,off,163,11,True
e1b_rtk_cod-repo_task_005-seed07-rtk1-off-standard,repo_task_005,7,on,off,57,11,True
e1b_rtk_cod-repo_task_005-seed13-rtk0-off-cod,repo_task_005,13,off,off,204,11,True
e1b_rtk_cod-repo_task_005-seed13-rtk0-off-standard,repo_task_005,13,off,off,98,11,True
e1b_rtk_cod-repo_task_005-seed13-rtk1-off-cod,repo_task_005,13,on,off,163,11,True
e1b_rtk_cod-repo_task_005-seed13-rtk1-off-standard,repo_task_005,13,on,off,57,11,True
e1b_rtk_cod-repo_task_005-seed42-rtk0-off-cod,repo_task_005,42,off,off,204,11,True
e1b_rtk_cod-repo_task_005-seed42-rtk0-off-standard,repo_task_005,42,off,off,98,11,True
e1b_rtk_cod-repo_task_005-seed42-rtk1-off-cod,repo_task_005,42,on,off,163,11,True
e1b_rtk_cod-repo_task_005-seed42-rtk1-off-standard,repo_task_005,42,on,off,57,11,True
e1b_rtk_cod-repo_task_005-seed99-rtk0-off-cod,repo_task_005,99,off,off,204,11,True
e1b_rtk_cod-repo_task_005-seed99-rtk0-off-standard,repo_task_005,99,off,off,98,11,True
e1b_rtk_cod-repo_task_005-seed99-rtk1-off-cod,repo_task_005,99,on,off,163,11,True
e1b_rtk_cod-repo_task_005-seed99-rtk1-off-standard,repo_task_005,99,on,off,57,11,True
e1b_rtk_cod-repo_task_006-seed07-rtk0-off-cod,repo_task_006,7,off,off,204,11,True
e1b_rtk_cod-repo_task_006-seed07-rtk0-off-standard,repo_task_006,7,off,off,98,11,True
e1b_rtk_cod-repo_task_006-seed07-rtk1-off-cod,repo_task_006,7,on,off,163,11,True
e1b_rtk_cod-repo_task_006-seed07-rtk1-off-standard,repo_task_006,7,on,off,57,11,True
e1b_rtk_cod-repo_task_006-seed13-rtk0-off-cod,repo_task_006,13,off,off,204,11,True
e1b_rtk_cod-repo_task_006-seed13-rtk0-off-standard,repo_task_006,13,off,off,98,11,True
e1b_rtk_cod-repo_task_006-seed13-rtk1-off-cod,repo_task_006,13,on,off,163,11,True
e1b_rtk_cod-repo_task_006-seed13-rtk1-off-standard,repo_task_006,13,on,off,57,11,True
e1b_rtk_cod-repo_task_006-seed42-rtk0-off-cod,repo_task_006,42,off,off,204,11,True
e1b_rtk_cod-repo_task_006-seed42-rtk0-off-standard,repo_task_006,42,off,off,98,11,True
e1b_rtk_cod-repo_task_006-seed42-rtk1-off-cod,repo_task_006,42,on,off,163,11,True
e1b_rtk_cod-repo_task_006-seed42-rtk1-off-standard,repo_task_006,42,on,off,57,11,True
e1b_rtk_cod-repo_task_006-seed99-rtk0-off-cod,repo_task_006,99,off,off,204,11,True
e1b_rtk_cod-repo_task_006-seed99-rtk0-off-standard,repo_task_006,99,off,off,98,11,True
e1b_rtk_cod-repo_task_006-seed99-rtk1-off-cod,repo_task_006,99,on,off,163,11,True
e1b_rtk_cod-repo_task_006-seed99-rtk1-off-standard,repo_task_006,99,on,off,57,11,True
